iter	Passed	Remaining
0	1	1162
1	5	2683
2	11	3862
3	13	3452
4	18	3758
5	22	3666
6	27	3902
7	34	4269
8	39	4312
9	42	4244
10	48	4355
11	53	4372
12	59	4488
13	113	7973
14	114	7539
15	118	7265
16	122	7086
17	127	6948
18	129	6691
19	131	6456
20	134	6270
21	137	6112
22	140	5963
23	145	5903
24	148	5790
25	150	5622
26	153	5529
27	157	5456
28	163	5466
29	170	5505
30	176	5509
31	181	5489
32	185	5426
33	188	5360
34	196	5425
35	198	5309
36	200	5207
37	201	5103
38	204	5029
39	208	4994
40	212	4973
41	214	4894
42	216	4808
43	219	4762
44	220	4686
45	221	4600
46	222	4516
47	227	4521
48	231	4495
49	236	4500
50	238	4444
51	247	4512
52	257	4592
53	262	4595
54	267	4603
55	272	4592
56	273	4526
57	280	4550
58	285	4548
59	292	4587
60	295	4551
61	301	4560
62	303	4518
63	311	4553
64	314	4522
65	317	4493
66	321	4479
67	324	4443
68	332	4481
69	334	4444
70	341	4462
71	343	4425
72	347	4412
73	358	4487
74	365	4508
75	385	4689
76	389	4665
77	403	4768
78	411	4801
79	417	4801
80	422	4789
81	436	4883
82	482	5333
83	493	5377
84	495	5330
85	506	5382
86	512	5375
87	526	5458
88	528	5406
89	532	5386
90	535	5353
91	545	5385
92	551	5377
93	561	5407
94	567	5408
95	576	5427
96	587	5468
97	595	5485
98	601	5475
99	604	5442
100	608	5418
101	613	5400
102	617	5377
103	621	5352
104	624	5322
105	627	5296
106	630	5266
107	636	5253
108	642	5251
109	648	5249
110	653	5235
111	679	5390
112	690	5423
113	695	5405
114	700	5391
115	709	5409
116	712	5376
117	722	5398
118	725	5373
119	728	5343
120	733	5325
121	740	5331
122	744	5306
123	754	5333
124	761	5332
125	767	5320
126	771	5304
127	776	5293
128	780	5272
129	795	5326
130	802	5324
131	808	5319
132	812	5294
133	814	5266
134	828	5307
135	833	5296
136	839	5285
137	844	5277
138	848	5255
139	850	5223
140	855	5209
141	858	5189
142	871	5223
143	875	5205
144	880	5190
145	884	5175
146	889	5162
147	897	5169
148	900	5144
149	906	5137
150	909	5112
151	923	5151
152	931	5155
153	933	5128
154	937	5109
155	948	5129
156	956	5138
157	962	5127
158	965	5107
159	972	5105
160	989	5154
161	994	5146
162	998	5127
163	1006	5128
164	1008	5104
165	1012	5086
166	1015	5064
167	1020	5055
168	1027	5053
169	1042	5092
170	1048	5085
171	1054	5074
172	1057	5055
173	1061	5038
174	1067	5032
175	1069	5006
176	1076	5003
177	1078	4980
178	1081	4961
179	1084	4938
180	1088	4923
181	1098	4935
182	1101	4918
183	1104	4899
184	1108	4883
185	1113	4871
186	1116	4855
187	1119	4836
188	1124	4826
189	1132	4826
190	1134	4806
191	1137	4786
192	1141	4771
193	1144	4755
194	1146	4733
195	1149	4714
196	1152	4697
197	1155	4678
198	1169	4708
199	1172	4690
200	1175	4674
201	1178	4655
202	1186	4658
203	1191	4647
204	1196	4639
205	1200	4625
206	1207	4626
207	1299	4946
208	1305	4942
209	1313	4940
210	1356	5073
211	1357	5047
212	1360	5028
213	1363	5009
214	1366	4990
215	1371	4977
216	1374	4959
217	1376	4939
218	1379	4918
219	1382	4901
220	1385	4882
221	1393	4884
222	1398	4873
223	1406	4872
224	1409	4853
225	1413	4839
226	1416	4822
227	1419	4805
228	1424	4794
229	1430	4789
230	1440	4795
231	1450	4800
232	1459	4804
233	1473	4822
234	1476	4807
235	1479	4790
236	1485	4783
237	1493	4782
238	1502	4783
239	1507	4773
240	1511	4760
241	1526	4782
242	1530	4768
243	1539	4771
244	1550	4777
245	1552	4757
246	1557	4746
247	1564	4742
248	1566	4724
249	1568	4706
250	1576	4704
251	1585	4705
252	1592	4701
253	1598	4695
254	1602	4682
255	1607	4671
256	1609	4652
257	1610	4631
258	1612	4613
259	1623	4620
260	1626	4605
261	1628	4587
262	1636	4585
263	1643	4581
264	1646	4567
265	1650	4553
266	1653	4538
267	1655	4522
268	1658	4506
269	1662	4495
270	1669	4492
271	1679	4493
272	1690	4501
273	1697	4497
274	1702	4488
275	1705	4474
276	1718	4484
277	1731	4496
278	1734	4481
279	1739	4472
280	1741	4455
281	1742	4436
282	1745	4423
283	1750	4414
284	1755	4403
285	1758	4389
286	1760	4374
287	1762	4357
288	1764	4340
289	1766	4325
290	1773	4320
291	1777	4309
292	1782	4300
293	1792	4304
294	1797	4296
295	1805	4295
296	1809	4282
297	1820	4288
298	1831	4294
299	1836	4284
300	1839	4270
301	1840	4254
302	1842	4238
303	1849	4233
304	1857	4232
305	1863	4226
306	1871	4223
307	1874	4211
308	1877	4197
309	1879	4183
310	1883	4171
311	1890	4168
312	1898	4167
313	1909	4171
314	1918	4170
315	1928	4174
316	1942	4185
317	1943	4168
318	1958	4181
319	1970	4186
320	1977	4182
321	1986	4182
322	1991	4174
323	2000	4174
324	2004	4163
325	2019	4174
326	2021	4161
327	2034	4168
328	2039	4159
329	2041	4144
330	2054	4151
